osm_id,layer_change,field_change,evidence,source
way/1385048215,ac_line_all + line_other_kV -> dc_link,AC span reclassified HVDC; converter-side bus st0022516_400kV; inferred 320/400 'transformer' at Norfolk Vanguard West deleted (it is the converter); 320 kV buses removed,Norfolk Vanguard export uses +/-320 kV DC XLPE cables onshore and offshore; onshore substation at Necton converts HVDC to 400 kV HVAC,"Vattenfall contract award, Dec 2022: group.vattenfall.com/uk/newsroom/pressreleases/2022/new-contract-signed-with-deme-group-and-ls-cable-and-system-for-export-cables-for-norfolk-vanguard-offshore-wind-farm; Norfolk Vanguard DCO Environmental Statement"
way/1389754043,ac_line_all + line_other_kV -> dc_link,"AC span reclassified HVDC; 525 kV is the design-envelope maximum, flagged voltage_design_envelope_max_525kV; 525 kV junction buses removed","Cambois Connection Marine Scheme ES Table 5.3: up to four HVDC export cables, maximum operating voltage 525 kV; alternative case four 320 kV HVDC cables","Berwick Bank Wind Farm Ltd, Cambois Connection Marine Scheme ES Vol 2 Ch 5 (Marine Directorate Scotland)"
way/429525108,line_500kV -> line_132kV,voltage_kv 500 -> 132; buses st0018390/st0029658 retagged _132kV; inferred 60/500 and 50/500 transformers at Caldonazzo and Arsiero retagged to /132,OSM voltage=500000 keystroke error: sibling ways of the same named line are tagged 50000; Terna operates no 500 kV AC anywhere (Dati statistici); one line cannot be 500 kV and 50 kV,"OSM ways 429525108, 1176529836-42 (live tags via Overpass mirror); Terna Dati statistici"
way/1176529836,line_500kV -> line_132kV,voltage_kv 500 -> 132; buses st0027981/jn0018695 retagged _132kV,as above (same line group Arsiero-Asiago),as above
way/635947176,line_other_kV -> line_220kV,"voltage_kv 254 -> 220; buses retagged _220kV; jn0015246_254kV merged into existing jn0015246_220kV, reconnecting the offshore export circuit to the onshore 220 kV cable (now in the main component)",All three Hornsea One export circuits are 220 kV AC (offshore reactive-compensation platform with 220 kV shunt reactors is AC-diagnostic); 254 kV appears in no asset record,"Ofgem, Hornsea One OFTO transfer asset schedule"
relation/19909331,dc_link deleted,HVDC Saudi Arabia-Egypt removed,Outside the 36-country coverage area (Red Sea; bbox 24.4-36.0N x 27.9-39.8E); countries tag EU only; both ends unattached,geometry bbox; dataset scope definition (README s2)
relation/20666307,dc_link deleted,Charnyany-Dneprobugskaya 110 kV removed,Belarus-Ukraine 110 kV line mis-tagged as a DC relation in OSM; Belarus outside scope; no 110 kV HVDC exists,geometry bbox (BY/UA border); OSM tagging
dc_link: Caithness-Moray Link,attachment,"bus1 set to st0007811_275kV (Spittal), flag dc_attach_manual_spittal_converter","Mainland converters of the Caithness-Moray link are at Spittal and Blackhillock; geometry end sits 3.8 km from the Spittal bus, inside the build's own 10 km converter rule","SSEN Transmission, Caithness-Moray project"
dc_link: Shetland HVDC Connection,attachment,"bus0 set to st0007811_275kV (Spittal), flag dc_attach_manual_spittal_converter; Shetland island network now joins the main component through the link",The Shetland link integrates with Caithness-Moray at Spittal,"SSEN Transmission, Shetland link"
dc_link: 13 named links,flags only,"qa_flags added: unattached_end_offshore_platform_unmapped (BorWin1/2, DolWin1/2/3, Dogger Bank A/B, East Anglia THREE, IJmuiden Ver Beta); third_country_link_RU (Vyborg x3, Volgograd-Donbas + non_operational); partial_mapping_unattached_end (Caithness/Spittal stub)",No geometry or topology changed; flags record why an end is legitimately unattached,audit 2026-08-18
(all),none,Ukraine's six 500 kV AC spans KEPT unchanged,Real assets: Kreminska 500 kV substation commissioned 2020 into the Donbaska-Donska 500 kV line; Novodonbaska 2004; Donbaska-Peremoha named in the grid development plan. War-affected since 2022,Ukrenergo via ua-energy.org; Cabinet of Ministers decree (Kreminska)
v22 (2026-08-18),frequency separation + PyPSA fixes,"1,397 spans reclassified 16.7 Hz across 5 traction layers; 235 buses severed; 56 inferred converter-transformers deleted; 314 overseas spans removed; 505 duplicate circuit rows collapsed; 125 lengths recomputed; component redefined over passive branches (synchronous areas)",OSM frequency tags via live Overpass scrape from the owner's browser; operator registers (SBB/Trafikverket lengths validate); pandapower type arithmetic; geometry,scrape_PROVENANCE.md; _xfer/patch_v22.py; v22_stats_sidecar.json; acid_report_v22.json; twice adversarially reviewed
v23 (2026-08-18),transformer + dc_link attributes only,"transformer: s_nom_mva/x_pu/r_pu per 6-band typing rule + s_nom_pypsa_eur_mva (pypsa-eur incident-capacity convention) + parameters_source, 4753/4753; dc_link: p_nom_mw/status/p_nom_source, 67 rated + 5 honest unknowns, qa flags for umbrella/series/inferred-split/outage/misclassification; typing rule embedded as v23_typing_rule attributes table; no geometry, rows or layers changed","Per-link public-source research (research corrected in review: SACOI series 300/300, Konti-Skan nameplates 350/300); pandapower v3.1.2 std types; pypsa-eur commit 8119040 source dive (2000 MVA config default is dead code in the osm workflow)","dc_link_ratings.csv; transformer_typing_rule.csv; _xfer/patch_v23.py; v23_stats_sidecar.json; acid_report_v23.json; twice adversarially reviewed (round 1 NO_GO enforced, round 2 GO)"
