fid,identified_as,p_nom_mw,status,p_nom_source_shipped,source_title,research_notes,review_revision,qa_flag_added
1,"HVDC Italy-Greece (GRITA), Galatina (IT) - Arachthos (GR) - whole scheme, single row",500,operational,https://en.wikipedia.org/wiki/HVDC_Italy%E2%80%93Greece,HVDC Italy-Greece - Wikipedia,"500 MW monopole in service 2001, Terna/IPTO. OSM 400 kV consistent with published +/-400 kV. Whole link in one row, no apportionment.",,
2,"Nemo Link, Richborough (GB) - Herdersbrug/Zeebrugge (BE) - whole scheme, single row",1000,operational,https://en.wikipedia.org/wiki/Nemo_Link,Nemo Link - Wikipedia,"1000 MW, +/-400 kV, fully operational 31 Jan 2019, availability above 99%. OSM 400 kV matches published. Whole link in one row.",,
3,"ALEGrO interconnector, Lixhe (BE) - Oberzier (DE) - whole scheme, single row",1000,operational,https://www.elia.be/-/media/project/elia/shared/documents/press-releases/2020/20201109_cp-alegro-inauguration_en.pdf,"Elia/Amprion press release: ALEGrO inauguration, 9 Nov 2020",1000 MW over 90 km cable; day-ahead trading from 18 Nov 2020. OSM 'unknown' end is Amprion's Oberzier converter. No voltage discrepancy.,,
4,"HVDC Kontek, Bjaeverskov (DK) - Bentwisch (DE) - whole scheme, single row",600,operational,https://en.wikipedia.org/wiki/Kontek,Kontek - Wikipedia,"600 MW 400 kV monopole commissioned 1995, operated by Energinet and 50Hertz. OSM voltage matches. Whole link in one row.",,
5,"Baltic Cable, Luebeck-Herrenwyk (DE) - Kruseberg/Arrie (SE) - whole scheme, single row",600,operational,https://en.wikipedia.org/wiki/Baltic_Cable,Baltic Cable - Wikipedia,"600 MW maximum, +/-450 kV monopole, 1994. Historically constrained to 372 MW pre-2004 by German grid limits; 600 MW is the asset rating.",,
6,"BorWin1 offshore wind HVDC export link, BorWin alpha platform - Diele converter (DE)",400,operational,https://en.wikipedia.org/wiki/BorWin1,HVDC BorWin1 - Wikipedia,"Converter/link rating 400 MW, 2009. OSM 300 kV is pole-to-pole of published +/-150 kV, not an error. Offshore platform end unmapped in OSM.",,
7,"BorWin2 offshore wind HVDC export link, BorWin beta platform - Diele converter (DE)",800,operational,https://www.tennet.eu/de-en/projects/borwin2,BorWin2 - TenneT project page,"TenneT states 800 MW, feeding since Jan 2015; +/-300 kV. Shares Diele site and OSM geometry with fid 6 but is a separate scheme, no apportionment.",,
8,"DolWin2 offshore wind HVDC export link, DolWin beta platform - Doerpen West converter (DE)",916,operational,https://www.tennet.eu/de-en/projects/dolwin2,DolWin2 - TenneT project page,Operator states 916 MW (Wikipedia rounds to 900). +/-320 kV matches OSM. Offshore platform end unmapped; OSM endpoint label wrongly says DolWin3.,,
9,"COBRAcable, Endrup/Esbjerg (DK) - Eemshaven (NL) - whole scheme, single row",700,operational,https://en.wikipedia.org/wiki/COBRAcable,COBRAcable - Wikipedia,"700 MW, +/-320 kV, in service Sept 2019; cable fault Sept 2020 repaired Jan 2021. DK-NL link transiting German waters, hence DE in countries.",,
10,"NorNed, Feda (NO) - Eemshaven (NL) - whole scheme, single row",700,operational,https://en.wikipedia.org/wiki/NorNed,NorNed - Wikipedia,"700 MW, +/-450 kV, commercial operation May 2008. Repaired after 2022 cable fault. OSM voltage matches. Whole link in one row.",,
